N1.562O.42C.0003Ar.0094,Density=0.1200E-02,
"Energy(eV),","Delta,",Beta
507.476196,7.53E-07,3.43E-07
509.645233,7.48E-07,3.38E-07
511.823486,7.42E-07,3.33E-07
514.011108,7.36E-07,3.28E-07
516.208008,7.31E-07,3.24E-07
518.414307,7.25E-07,3.19E-07
520.630127,7.18E-07,3.15E-07
522.855347,7.11E-07,3.10E-07
525.090027,7.04E-07,3.06E-07
527.334351,6.96E-07,3.02E-07
529.588196,6.86E-07,2.97E-07
531.851746,6.77E-07,2.93E-07
534.124939,6.68E-07,2.89E-07
536.407837,6.33E-07,2.85E-07
538.7005,5.90E-07,2.81E-07
541.002991,5.47E-07,2.77E-07
543.315308,5.34E-07,3.75E-07
545.637451,5.69E-07,3.70E-07
547.969604,5.97E-07,3.65E-07
550.311646,6.25E-07,3.60E-07
552.663757,6.47E-07,3.55E-07
555.025879,6.50E-07,3.50E-07
557.398071,6.52E-07,3.45E-07
559.780457,6.54E-07,3.40E-07
562.173035,6.55E-07,3.35E-07
564.575867,6.55E-07,3.30E-07
566.988892,6.55E-07,3.25E-07
569.412231,6.55E-07,3.20E-07
571.845947,6.53E-07,3.16E-07
574.2901,6.52E-07,3.11E-07
576.74469,6.50E-07,3.06E-07
579.209717,6.49E-07,3.02E-07
581.685364,6.46E-07,2.97E-07
584.171509,6.44E-07,2.93E-07
586.668335,6.42E-07,2.88E-07
589.175842,6.39E-07,2.84E-07
591.69397,6.36E-07,2.80E-07
594.222961,6.34E-07,2.76E-07
596.762695,6.31E-07,2.72E-07
599.313354,6.28E-07,2.68E-07
601.874878,6.25E-07,2.64E-07
604.447388,6.22E-07,2.60E-07
607.030823,6.19E-07,2.56E-07
609.625366,6.16E-07,2.52E-07
612.230957,6.12E-07,2.48E-07
614.847656,6.09E-07,2.45E-07
617.475647,6.06E-07,2.41E-07
620.114746,6.02E-07,2.37E-07
622.765198,5.99E-07,2.34E-07
625.426941,5.96E-07,2.30E-07
628.100098,5.92E-07,2.27E-07
630.784607,5.89E-07,2.24E-07
