Ni,Density=8.902,
"Energy(eV),","Delta,",Beta
3229.59448,0.000168084,1.54E-05
3251.68286,0.000165764,1.51E-05
3273.92188,0.000163475,1.47E-05
3296.31323,0.000161217,1.43E-05
3318.85791,0.000158991,1.40E-05
3341.55664,0.000156795,1.36E-05
3364.4104,0.000154628,1.33E-05
3387.42065,0.000152492,1.30E-05
3410.58838,0.000150384,1.26E-05
3433.91431,0.000148305,1.23E-05
3457.40015,0.000146254,1.20E-05
3481.04614,0.000144232,1.17E-05
3504.85425,0.000142237,1.14E-05
3528.82495,0.000140269,1.12E-05
3552.95972,0.000138329,1.09E-05
3577.25952,0.000136415,1.06E-05
3601.72559,0.000134527,1.04E-05
3626.35864,0.000132665,1.01E-05
3651.1604,0.000130828,9.84E-06
3676.13208,0.000129017,9.60E-06
3701.27417,0.00012723,9.36E-06
3726.58813,0.000125468,9.13E-06
3752.07568,0.00012373,8.91E-06
3777.73706,0.000122016,8.69E-06
3803.57422,0.000120325,8.47E-06
3829.58813,0.000118658,8.26E-06
3855.77979,0.000117013,8.06E-06
3882.15088,0.000115391,7.86E-06
3908.7019,0.000113792,7.66E-06
3935.43481,0.000112214,7.47E-06
3962.35034,0.000110658,7.29E-06
3989.4502,0.000109123,7.11E-06
4016.73511,0.00010761,6.93E-06
4044.20703,0.000106117,6.76E-06
4071.86646,0.000104645,6.59E-06
4099.71533,0.000103193,6.43E-06
4127.75488,0.00010176,6.27E-06
4155.98535,0.000100348,6.11E-06
4184.40967,9.90E-05,5.96E-06
4213.02783,9.76E-05,5.81E-06
4241.84229,9.62E-05,5.67E-06
4270.85352,9.49E-05,5.53E-06
4300.06299,9.36E-05,5.39E-06
4329.47266,9.23E-05,5.25E-06
4359.08301,9.10E-05,5.12E-06
4388.89648,8.97E-05,5.00E-06
4418.91357,8.85E-05,4.87E-06
4449.13574,8.72E-05,4.75E-06
4479.56445,8.60E-05,4.63E-06
4510.20215,8.48E-05,4.52E-06
4541.04834,8.37E-05,4.40E-06
4572.10645,8.25E-05,4.30E-06
4603.37646,8.13E-05,4.19E-06
4634.85986,8.02E-05,4.08E-06
4666.55908,7.91E-05,3.98E-06
4698.47559,7.80E-05,3.88E-06
4730.60986,7.69E-05,3.79E-06
4762.96387,7.58E-05,3.69E-06
4795.53955,7.48E-05,3.60E-06
4828.3374,7.37E-05,3.51E-06
4861.35986,7.27E-05,3.42E-06
4894.60791,7.17E-05,3.34E-06
4928.08398,7.07E-05,3.25E-06
4961.78857,6.97E-05,3.17E-06
4995.72363,6.87E-05,3.09E-06
5029.89111,6.78E-05,3.01E-06
5064.29199,6.68E-05,2.94E-06
5098.92822,6.59E-05,2.87E-06
5133.80127,6.50E-05,2.79E-06
5168.91357,6.41E-05,2.72E-06
5204.26514,6.32E-05,2.66E-06
5239.8584,6.23E-05,2.59E-06
5275.69531,6.14E-05,2.52E-06
5311.77783,6.06E-05,2.46E-06
5348.10645,5.97E-05,2.40E-06
5384.68408,5.89E-05,2.34E-06
5421.51172,5.81E-05,2.28E-06
5458.59082,5.72E-05,2.22E-06
5495.92383,5.64E-05,2.17E-06
5533.51221,5.57E-05,2.11E-06
5571.35791,5.49E-05,2.06E-06
5609.46191,5.41E-05,2.01E-06
5647.82666,5.33E-05,1.96E-06
5686.45361,5.26E-05,1.91E-06
5725.34521,5.19E-05,1.86E-06
5764.50244,5.11E-05,1.81E-06
5803.92773,5.04E-05,1.77E-06
5843.62256,4.97E-05,1.72E-06
5883.58936,4.90E-05,1.68E-06
5923.82861,4.83E-05,1.64E-06
5964.34375,4.76E-05,1.60E-06
6005.13574,4.69E-05,1.56E-06
6046.20654,4.63E-05,1.52E-06
6087.55811,4.56E-05,1.48E-06
6129.19336,4.50E-05,1.44E-06
6171.1123,4.43E-05,1.40E-06
6213.31885,4.37E-05,1.37E-06
6255.81348,4.31E-05,1.33E-06
6298.59863,4.25E-05,1.30E-06
6341.67725,4.19E-05,1.27E-06
6385.0498,4.13E-05,1.23E-06
6428.71924,4.07E-05,1.20E-06
6472.68701,4.01E-05,1.17E-06
6516.95605,3.95E-05,1.14E-06
6561.52734,3.90E-05,1.11E-06
6606.40332,3.84E-05,1.09E-06
6651.58643,3.79E-05,1.06E-06
6697.0791,3.73E-05,1.03E-06
6742.88232,3.68E-05,1.00E-06
6788.99902,3.62E-05,9.79E-07
6835.43115,3.57E-05,9.54E-07
6882.18066,3.52E-05,9.30E-07
6929.25,3.47E-05,9.06E-07
6976.64111,3.42E-05,8.83E-07
7024.35693,3.37E-05,8.60E-07
7072.39844,3.32E-05,8.38E-07
7120.76904,3.27E-05,8.17E-07
7169.46973,3.22E-05,7.96E-07
7218.50439,3.17E-05,7.75E-07
7267.87354,3.12E-05,7.55E-07
7317.58105,3.08E-05,7.36E-07
7367.62793,3.03E-05,7.17E-07
7418.01807,2.98E-05,6.98E-07
7468.75195,2.94E-05,6.80E-07
7519.83301,2.89E-05,6.63E-07
7571.26318,2.85E-05,6.46E-07
7623.04541,2.80E-05,6.29E-07
7675.18164,2.76E-05,6.13E-07
7727.6748,2.71E-05,5.97E-07
7780.52686,2.67E-05,5.81E-07
7833.74023,2.62E-05,5.66E-07
7887.31787,2.57E-05,5.52E-07
7941.26123,2.53E-05,5.37E-07
7995.57422,2.48E-05,5.23E-07
8050.25879,2.43E-05,5.10E-07
8105.31641,2.37E-05,4.96E-07
8160.75146,2.32E-05,4.84E-07
8216.56543,2.22E-05,4.71E-07
8272.76074,2.11E-05,4.59E-07
8329.34082,1.60E-05,4.47E-07
8386.30762,1.82E-05,3.41E-06
8443.66406,2.13E-05,3.33E-06
8501.41309,2.15E-05,3.25E-06
8559.55664,2.15E-05,3.17E-06
8618.09863,2.14E-05,3.10E-06
8677.04004,2.13E-05,3.03E-06
8736.38574,2.12E-05,2.96E-06
8796.13574,2.10E-05,2.89E-06
8856.2959,2.09E-05,2.82E-06
8916.86621,2.07E-05,2.75E-06
8977.85156,2.05E-05,2.69E-06
9039.25391,2.03E-05,2.62E-06
9101.07617,2.01E-05,2.56E-06
9163.32129,1.99E-05,2.50E-06
9225.99219,1.97E-05,2.44E-06
9289.09082,1.95E-05,2.38E-06
9352.62207,1.93E-05,2.33E-06
9416.58789,1.91E-05,2.27E-06
9480.99023,1.89E-05,2.22E-06
9545.83496,1.86E-05,2.16E-06
9611.12109,1.84E-05,2.11E-06
9676.85449,1.82E-05,2.06E-06
9743.03711,1.80E-05,2.01E-06
9809.67285,1.78E-05,1.96E-06
9876.76465,1.76E-05,1.92E-06
9944.31543,1.74E-05,1.87E-06
10012.3271,1.72E-05,1.83E-06
10080.8047,1.70E-05,1.78E-06
10149.75,1.68E-05,1.74E-06
10219.168,1.66E-05,1.70E-06
10289.0596,1.64E-05,1.66E-06
10359.4297,1.62E-05,1.62E-06
10430.2803,1.60E-05,1.58E-06
10501.6162,1.58E-05,1.54E-06
10573.4404,1.56E-05,1.50E-06
10645.7559,1.54E-05,1.46E-06
10718.5654,1.52E-05,1.43E-06
10791.873,1.50E-05,1.39E-06
10865.6816,1.48E-05,1.36E-06
10939.9961,1.46E-05,1.33E-06
11014.8174,1.44E-05,1.29E-06
11090.1504,1.42E-05,1.26E-06
11166,1.41E-05,1.23E-06
11242.3682,1.39E-05,1.20E-06
11319.2578,1.37E-05,1.17E-06
11396.6738,1.35E-05,1.14E-06
11474.6191,1.34E-05,1.12E-06
11553.0977,1.32E-05,1.09E-06
11632.1123,1.30E-05,1.06E-06
11711.6689,1.28E-05,1.03E-06
11791.7686,1.27E-05,1.01E-06
11872.416,1.25E-05,9.84E-07
11953.6152,1.24E-05,9.60E-07
12035.3701,1.22E-05,9.36E-07
12117.6836,1.20E-05,9.13E-07
12200.5596,1.19E-05,8.90E-07
12284.0029,1.17E-05,8.68E-07
12368.0176,1.16E-05,8.47E-07
12452.6064,1.14E-05,8.26E-07
12537.7734,1.13E-05,8.05E-07
12623.5225,1.11E-05,7.85E-07
12709.8594,1.10E-05,7.66E-07
12796.7852,1.08E-05,7.47E-07
12884.3066,1.07E-05,7.28E-07
12972.4268,1.05E-05,7.10E-07
13061.1484,1.04E-05,6.92E-07
13150.4785,1.03E-05,6.75E-07
13240.418,1.01E-05,6.58E-07
13330.9736,1.00E-05,6.42E-07
13422.1475,9.86E-06,6.26E-07
13513.9463,9.73E-06,6.10E-07
13606.373,9.60E-06,5.95E-07
13699.4307,9.48E-06,5.80E-07
13793.125,9.35E-06,5.65E-07
13887.4609,9.23E-06,5.51E-07
13982.4414,9.10E-06,5.37E-07
14078.0713,8.98E-06,5.24E-07
14174.3555,8.86E-06,5.10E-07
14271.2988,8.74E-06,4.98E-07
14368.9043,8.63E-06,4.85E-07
14467.1777,8.51E-06,4.73E-07
14566.123,8.40E-06,4.61E-07
14665.7461,8.28E-06,4.49E-07
14766.0498,8.17E-06,4.38E-07
14867.0391,8.06E-06,4.27E-07
14968.7188,7.96E-06,4.16E-07
15071.0947,7.85E-06,4.06E-07
15174.1709,7.74E-06,3.95E-07
15277.9512,7.64E-06,3.85E-07
15382.4414,7.54E-06,3.75E-07
15487.6475,7.44E-06,3.66E-07
15593.5713,7.34E-06,3.57E-07
15700.2207,7.24E-06,3.48E-07
15807.5996,7.14E-06,3.39E-07
15915.7129,7.04E-06,3.30E-07
16024.5645,6.95E-06,3.22E-07
16134.1631,6.86E-06,3.14E-07
16244.5088,6.76E-06,3.06E-07
16355.6104,6.67E-06,2.98E-07
16467.4727,6.58E-06,2.90E-07
16580.0977,6.49E-06,2.83E-07
16693.4922,6.41E-06,2.76E-07
16807.6641,6.32E-06,2.69E-07
16922.6191,6.23E-06,2.62E-07
17038.3574,6.15E-06,2.55E-07
17154.8887,6.07E-06,2.49E-07
17272.2148,5.99E-06,2.42E-07
17390.3457,5.90E-06,2.36E-07
17509.2832,5.82E-06,2.30E-07
17629.0352,5.75E-06,2.24E-07
17749.6055,5.67E-06,2.18E-07
17871,5.59E-06,2.13E-07
17993.2246,5.52E-06,2.07E-07
18116.2871,5.44E-06,2.02E-07
18240.1914,5.37E-06,1.97E-07
18364.9414,5.29E-06,1.92E-07
18490.543,5.22E-06,1.87E-07
18617.0059,5.15E-06,1.82E-07
18744.334,5.08E-06,1.77E-07
18872.5312,5.01E-06,1.73E-07
19001.6074,4.95E-06,1.68E-07
19131.5645,4.88E-06,1.64E-07
19262.4102,4.81E-06,1.60E-07
19394.1543,4.75E-06,1.56E-07
19526.7969,4.68E-06,1.52E-07
19660.3457,4.62E-06,1.48E-07
19794.8086,4.56E-06,1.44E-07
19930.1914,4.49E-06,1.40E-07
20066.5,4.43E-06,1.37E-07
20203.7402,4.37E-06,1.33E-07
20341.9199,4.31E-06,1.30E-07
20481.0449,4.26E-06,1.26E-07
20621.123,4.20E-06,1.23E-07
20762.1562,4.14E-06,1.20E-07
20904.1562,4.08E-06,1.17E-07
21047.125,4.03E-06,1.14E-07
21191.0723,3.97E-06,1.11E-07
21336.0039,3.92E-06,1.08E-07
21481.9277,3.87E-06,1.05E-07
21628.8496,3.81E-06,1.03E-07
21776.7754,3.76E-06,9.99E-08
21925.7148,3.71E-06,9.73E-08
22075.6699,3.66E-06,9.48E-08
22226.6543,3.61E-06,9.24E-08
22378.668,3.56E-06,9.00E-08
22531.7227,3.51E-06,8.76E-08
22685.8262,3.47E-06,8.54E-08
22840.9805,3.42E-06,8.32E-08
22997.1953,3.37E-06,8.10E-08
23154.4824,3.33E-06,7.89E-08
23312.8418,3.28E-06,7.69E-08
23472.2871,3.24E-06,7.49E-08
23632.8203,3.19E-06,7.29E-08
23794.4531,3.15E-06,7.10E-08
23957.1895,3.11E-06,6.92E-08
24121.041,3.06E-06,6.74E-08
24286.0117,3.02E-06,6.56E-08
24452.1094,2.98E-06,6.39E-08
24619.3457,2.94E-06,6.23E-08
24787.7246,2.90E-06,6.07E-08
24957.2559,2.86E-06,5.91E-08
25127.9473,2.82E-06,5.76E-08
25299.8047,2.78E-06,5.61E-08
25472.8379,2.75E-06,5.46E-08
25647.0547,2.71E-06,5.32E-08
25822.4629,2.67E-06,5.18E-08
25999.0703,2.63E-06,5.05E-08
26176.8848,2.60E-06,4.91E-08
26355.918,2.56E-06,4.79E-08
26536.1738,2.53E-06,4.66E-08
26717.6621,2.49E-06,4.54E-08
26900.3945,2.46E-06,4.42E-08
27084.373,2.43E-06,4.31E-08
27269.6113,2.39E-06,4.20E-08
27456.1172,2.36E-06,4.09E-08
27643.8984,2.33E-06,3.98E-08
27832.9648,2.30E-06,3.88E-08
28023.3203,2.27E-06,3.78E-08
28214.9805,2.24E-06,3.68E-08
28407.9531,2.20E-06,3.58E-08
28602.2441,2.17E-06,3.49E-08
28797.8633,2.15E-06,3.40E-08
28994.8223,2.12E-06,3.31E-08
29193.125,2.09E-06,3.22E-08
29392.7852,2.06E-06,3.14E-08
29593.8125,2.03E-06,3.06E-08
29796.2129,2.00E-06,2.98E-08
30000,1.98E-06,2.90E-08
