B4C,Density=2.52,
"Energy(eV),","Delta,",Beta
1977.0437,0.000128785,2.45E-06
1990.56543,0.000127014,2.39E-06
2004.17944,0.000125269,2.33E-06
2017.8866,0.000123547,2.26E-06
2031.6875,0.00012185,2.20E-06
2045.58301,0.000120177,2.14E-06
2059.57349,0.000118526,2.09E-06
2073.65942,0.000116898,2.03E-06
2087.8418,0.000115293,1.98E-06
2102.12109,0.00011371,1.92E-06
2116.49829,0.000112148,1.87E-06
2130.97363,0.000110608,1.82E-06
2145.5481,0.00010909,1.77E-06
2160.22217,0.000107592,1.72E-06
2174.99634,0.000106116,1.68E-06
2189.87207,0.000104659,1.63E-06
2204.84912,0.000103223,1.59E-06
2219.92871,0.000101807,1.54E-06
2235.11157,0.00010041,1.50E-06
2250.39819,9.90E-05,1.46E-06
2265.78931,9.77E-05,1.42E-06
2281.28564,9.63E-05,1.38E-06
2296.88818,9.50E-05,1.35E-06
2312.59717,9.37E-05,1.31E-06
2328.41406,9.24E-05,1.27E-06
2344.33862,9.12E-05,1.24E-06
2360.37231,8.99E-05,1.21E-06
2376.51562,8.87E-05,1.17E-06
2392.76929,8.75E-05,1.14E-06
2409.13403,8.63E-05,1.11E-06
2425.61108,8.51E-05,1.08E-06
2442.20068,8.39E-05,1.05E-06
2458.90356,8.28E-05,1.02E-06
2475.7207,8.16E-05,9.96E-07
2492.65283,8.05E-05,9.69E-07
2509.70093,7.94E-05,9.42E-07
2526.86548,7.83E-05,9.17E-07
2544.14746,7.72E-05,8.92E-07
2561.54785,7.62E-05,8.68E-07
2579.06689,7.51E-05,8.44E-07
2596.70605,7.41E-05,8.21E-07
2614.46582,7.31E-05,7.99E-07
2632.34692,7.21E-05,7.77E-07
2650.35034,7.11E-05,7.56E-07
2668.47681,7.01E-05,7.35E-07
2686.72754,6.92E-05,7.15E-07
2705.10278,6.82E-05,6.96E-07
2723.60376,6.73E-05,6.77E-07
2742.23145,6.64E-05,6.58E-07
2760.98633,6.55E-05,6.41E-07
2779.86963,6.46E-05,6.23E-07
2798.88208,6.37E-05,6.06E-07
2818.02441,6.28E-05,5.90E-07
2837.29761,6.20E-05,5.74E-07
2856.70288,6.11E-05,5.58E-07
2876.24072,6.03E-05,5.43E-07
2895.91211,5.95E-05,5.28E-07
2915.71826,5.86E-05,5.13E-07
2935.65991,5.78E-05,4.99E-07
2955.73755,5.71E-05,4.86E-07
2975.95288,5.63E-05,4.72E-07
2996.3064,5.55E-05,4.60E-07
3016.79907,5.47E-05,4.47E-07
3037.43164,5.40E-05,4.35E-07
3058.20581,5.33E-05,4.23E-07
3079.12183,5.25E-05,4.11E-07
3100.18091,5.18E-05,4.00E-07
3121.38379,5.11E-05,3.89E-07
3142.73218,5.04E-05,3.78E-07
3164.22607,4.97E-05,3.68E-07
3185.86719,4.90E-05,3.58E-07
3207.65649,4.84E-05,3.48E-07
3229.59448,4.77E-05,3.39E-07
3251.68286,4.71E-05,3.29E-07
3273.92188,4.64E-05,3.20E-07
3296.31323,4.58E-05,3.12E-07
3318.85791,4.52E-05,3.03E-07
3341.55664,4.45E-05,2.95E-07
3364.4104,4.39E-05,2.87E-07
3387.42065,4.33E-05,2.79E-07
3410.58838,4.27E-05,2.71E-07
3433.91431,4.22E-05,2.64E-07
3457.40015,4.16E-05,2.56E-07
3481.04614,4.10E-05,2.49E-07
3504.85425,4.05E-05,2.42E-07
3528.82495,3.99E-05,2.36E-07
3552.95972,3.94E-05,2.29E-07
3577.25952,3.88E-05,2.23E-07
3601.72559,3.83E-05,2.17E-07
3626.35864,3.78E-05,2.11E-07
3651.1604,3.73E-05,2.05E-07
3676.13208,3.68E-05,1.99E-07
3701.27417,3.63E-05,1.94E-07
3726.58813,3.58E-05,1.89E-07
3752.07568,3.53E-05,1.83E-07
3777.73706,3.48E-05,1.78E-07
3803.57422,3.43E-05,1.73E-07
3829.58813,3.38E-05,1.69E-07
3855.77979,3.34E-05,1.64E-07
