SiO2,Density=2.2,
"Energy(eV),","Delta,",Beta
3058.20581,4.98E-05,3.87E-06
3079.12183,4.92E-05,3.78E-06
3100.18091,4.85E-05,3.68E-06
3121.38379,4.79E-05,3.59E-06
3142.73218,4.72E-05,3.50E-06
3164.22607,4.66E-05,3.41E-06
3185.86719,4.60E-05,3.32E-06
3207.65649,4.53E-05,3.24E-06
3229.59448,4.47E-05,3.16E-06
3251.68286,4.41E-05,3.08E-06
3273.92188,4.35E-05,3.00E-06
3296.31323,4.30E-05,2.93E-06
3318.85791,4.24E-05,2.85E-06
3341.55664,4.18E-05,2.78E-06
3364.4104,4.12E-05,2.71E-06
3387.42065,4.07E-05,2.64E-06
3410.58838,4.01E-05,2.57E-06
3433.91431,3.96E-05,2.51E-06
3457.40015,3.91E-05,2.44E-06
3481.04614,3.85E-05,2.38E-06
3504.85425,3.80E-05,2.32E-06
3528.82495,3.75E-05,2.26E-06
3552.95972,3.70E-05,2.20E-06
3577.25952,3.65E-05,2.15E-06
3601.72559,3.60E-05,2.09E-06
3626.35864,3.55E-05,2.04E-06
3651.1604,3.50E-05,1.99E-06
3676.13208,3.46E-05,1.94E-06
3701.27417,3.41E-05,1.89E-06
3726.58813,3.36E-05,1.84E-06
3752.07568,3.32E-05,1.79E-06
3777.73706,3.27E-05,1.75E-06
3803.57422,3.23E-05,1.70E-06
3829.58813,3.18E-05,1.66E-06
3855.77979,3.14E-05,1.62E-06
3882.15088,3.10E-05,1.57E-06
3908.7019,3.06E-05,1.53E-06
3935.43481,3.01E-05,1.49E-06
3962.35034,2.97E-05,1.46E-06
3989.4502,2.93E-05,1.42E-06
4016.73511,2.89E-05,1.38E-06
4044.20703,2.85E-05,1.35E-06
4071.86646,2.82E-05,1.31E-06
4099.71533,2.78E-05,1.28E-06
4127.75488,2.74E-05,1.25E-06
4155.98535,2.70E-05,1.21E-06
4184.40967,2.66E-05,1.18E-06
4213.02783,2.63E-05,1.15E-06
4241.84229,2.59E-05,1.12E-06
4270.85352,2.56E-05,1.09E-06
4300.06299,2.52E-05,1.06E-06
4329.47266,2.49E-05,1.04E-06
4359.08301,2.45E-05,1.01E-06
4388.89648,2.42E-05,9.84E-07
4418.91357,2.39E-05,9.58E-07
4449.13574,2.36E-05,9.34E-07
4479.56445,2.32E-05,9.09E-07
4510.20215,2.29E-05,8.86E-07
4541.04834,2.26E-05,8.63E-07
4572.10645,2.23E-05,8.40E-07
4603.37646,2.20E-05,8.19E-07
4634.85986,2.17E-05,7.97E-07
4666.55908,2.14E-05,7.77E-07
4698.47559,2.11E-05,7.57E-07
4730.60986,2.08E-05,7.37E-07
4762.96387,2.05E-05,7.18E-07
4795.53955,2.03E-05,6.99E-07
4828.3374,2.00E-05,6.81E-07
4861.35986,1.97E-05,6.63E-07
4894.60791,1.94E-05,6.46E-07
4928.08398,1.92E-05,6.29E-07
4961.78857,1.89E-05,6.13E-07
4995.72363,1.86E-05,5.97E-07
5029.89111,1.84E-05,5.81E-07
5064.29199,1.81E-05,5.66E-07
5098.92822,1.79E-05,5.51E-07
5133.80127,1.77E-05,5.37E-07
5168.91357,1.74E-05,5.23E-07
5204.26514,1.72E-05,5.09E-07
5239.8584,1.69E-05,4.96E-07
5275.69531,1.67E-05,4.83E-07
5311.77783,1.65E-05,4.70E-07
5348.10645,1.63E-05,4.58E-07
5384.68408,1.60E-05,4.46E-07
5421.51172,1.58E-05,4.34E-07
5458.59082,1.56E-05,4.23E-07
5495.92383,1.54E-05,4.12E-07
5533.51221,1.52E-05,4.01E-07
5571.35791,1.50E-05,3.91E-07
5609.46191,1.48E-05,3.80E-07
5647.82666,1.46E-05,3.70E-07
5686.45361,1.44E-05,3.61E-07
5725.34521,1.42E-05,3.51E-07
5764.50244,1.40E-05,3.42E-07
5803.92773,1.38E-05,3.33E-07
5843.62256,1.36E-05,3.24E-07
5883.58936,1.34E-05,3.16E-07
5923.82861,1.32E-05,3.08E-07
5964.34375,1.30E-05,3.00E-07
6005.13574,1.29E-05,2.92E-07
6046.20654,1.27E-05,2.84E-07
6087.55811,1.25E-05,2.77E-07
6129.19336,1.23E-05,2.69E-07
6171.1123,1.22E-05,2.62E-07
6213.31885,1.20E-05,2.55E-07
6255.81348,1.18E-05,2.49E-07
6298.59863,1.17E-05,2.42E-07
6341.67725,1.15E-05,2.36E-07
6385.0498,1.14E-05,2.29E-07
6428.71924,1.12E-05,2.23E-07
6472.68701,1.11E-05,2.18E-07
6516.95605,1.09E-05,2.12E-07
6561.52734,1.08E-05,2.06E-07
6606.40332,1.06E-05,2.01E-07
6651.58643,1.05E-05,1.95E-07
6697.0791,1.03E-05,1.90E-07
6742.88232,1.02E-05,1.85E-07
6788.99902,1.00E-05,1.80E-07
6835.43115,9.91E-06,1.76E-07
6882.18066,9.77E-06,1.71E-07
6929.25,9.64E-06,1.66E-07
6976.64111,9.50E-06,1.62E-07
7024.35693,9.38E-06,1.58E-07
7072.39844,9.25E-06,1.54E-07
7120.76904,9.12E-06,1.50E-07
7169.46973,9.00E-06,1.46E-07
7218.50439,8.87E-06,1.42E-07
7267.87354,8.75E-06,1.38E-07
7317.58105,8.63E-06,1.34E-07
7367.62793,8.51E-06,1.31E-07
7418.01807,8.40E-06,1.27E-07
7468.75195,8.28E-06,1.24E-07
7519.83301,8.17E-06,1.21E-07
7571.26318,8.06E-06,1.18E-07
7623.04541,7.95E-06,1.14E-07
7675.18164,7.84E-06,1.11E-07
7727.6748,7.73E-06,1.08E-07
7780.52686,7.63E-06,1.06E-07
7833.74023,7.52E-06,1.03E-07
7887.31787,7.42E-06,1.00E-07
7941.26123,7.32E-06,9.74E-08
7995.57422,7.22E-06,9.48E-08
8050.25879,7.12E-06,9.23E-08
8105.31641,7.02E-06,8.98E-08
8160.75146,6.93E-06,8.74E-08
8216.56543,6.83E-06,8.51E-08
8272.76074,6.74E-06,8.29E-08
8329.34082,6.65E-06,8.07E-08
8386.30762,6.56E-06,7.85E-08
8443.66406,6.47E-06,7.64E-08
8501.41309,6.38E-06,7.44E-08
8559.55664,6.29E-06,7.24E-08
8618.09863,6.21E-06,7.05E-08
8677.04004,6.12E-06,6.86E-08
8736.38574,6.04E-06,6.68E-08
8796.13574,5.96E-06,6.50E-08
8856.2959,5.88E-06,6.33E-08
8916.86621,5.80E-06,6.16E-08
8977.85156,5.72E-06,6.00E-08
9039.25391,5.64E-06,5.84E-08
9101.07617,5.56E-06,5.68E-08
9163.32129,5.49E-06,5.53E-08
9225.99219,5.41E-06,5.38E-08
9289.09082,5.34E-06,5.24E-08
9352.62207,5.26E-06,5.10E-08
9416.58789,5.19E-06,4.97E-08
9480.99023,5.12E-06,4.83E-08
9545.83496,5.05E-06,4.70E-08
9611.12109,4.98E-06,4.58E-08
9676.85449,4.92E-06,4.46E-08
9743.03711,4.85E-06,4.34E-08
9809.67285,4.78E-06,4.22E-08
9876.76465,4.72E-06,4.11E-08
9944.31543,4.65E-06,4.00E-08
10012.3271,4.59E-06,3.89E-08
10080.8047,4.53E-06,3.79E-08
10149.75,4.47E-06,3.69E-08
10219.168,4.40E-06,3.59E-08
10289.0596,4.34E-06,3.50E-08
10359.4297,4.29E-06,3.40E-08
10430.2803,4.23E-06,3.31E-08
10501.6162,4.17E-06,3.22E-08
10573.4404,4.11E-06,3.14E-08
10645.7559,4.06E-06,3.05E-08
10718.5654,4.00E-06,2.97E-08
10791.873,3.95E-06,2.89E-08
10865.6816,3.89E-06,2.82E-08
10939.9961,3.84E-06,2.74E-08
11014.8174,3.79E-06,2.67E-08
11090.1504,3.74E-06,2.60E-08
11166,3.69E-06,2.53E-08
11242.3682,3.64E-06,2.46E-08
11319.2578,3.59E-06,2.39E-08
11396.6738,3.54E-06,2.33E-08
11474.6191,3.49E-06,2.27E-08
11553.0977,3.44E-06,2.21E-08
11632.1123,3.39E-06,2.15E-08
11711.6689,3.35E-06,2.09E-08
11791.7686,3.30E-06,2.03E-08
11872.416,3.26E-06,1.98E-08
11953.6152,3.21E-06,1.93E-08
12035.3701,3.17E-06,1.88E-08
12117.6836,3.13E-06,1.83E-08
12200.5596,3.08E-06,1.78E-08
12284.0029,3.04E-06,1.73E-08
12368.0176,3.00E-06,1.68E-08
12452.6064,2.96E-06,1.64E-08
12537.7734,2.92E-06,1.59E-08
12623.5225,2.88E-06,1.55E-08
12709.8594,2.84E-06,1.51E-08
12796.7852,2.80E-06,1.47E-08
12884.3066,2.76E-06,1.43E-08
12972.4268,2.73E-06,1.39E-08
13061.1484,2.69E-06,1.36E-08
13150.4785,2.65E-06,1.32E-08
13240.418,2.62E-06,1.28E-08
13330.9736,2.58E-06,1.25E-08
13422.1475,2.55E-06,1.22E-08
13513.9463,2.51E-06,1.18E-08
13606.373,2.48E-06,1.15E-08
13699.4307,2.44E-06,1.12E-08
13793.125,2.41E-06,1.09E-08
13887.4609,2.38E-06,1.06E-08
13982.4414,2.34E-06,1.03E-08
14078.0713,2.31E-06,1.01E-08
14174.3555,2.28E-06,9.80E-09
14271.2988,2.25E-06,9.54E-09
14368.9043,2.22E-06,9.29E-09
14467.1777,2.19E-06,9.04E-09
14566.123,2.16E-06,8.80E-09
14665.7461,2.13E-06,8.56E-09
14766.0498,2.10E-06,8.33E-09
14867.0391,2.07E-06,8.11E-09
14968.7188,2.04E-06,7.90E-09
15071.0947,2.02E-06,7.69E-09
15174.1709,1.99E-06,7.48E-09
15277.9512,1.96E-06,7.28E-09
15382.4414,1.94E-06,7.09E-09
15487.6475,1.91E-06,6.90E-09
15593.5713,1.88E-06,6.72E-09
15700.2207,1.86E-06,6.54E-09
15807.5996,1.83E-06,6.36E-09
15915.7129,1.81E-06,6.20E-09
16024.5645,1.78E-06,6.03E-09
16134.1631,1.76E-06,5.87E-09
16244.5088,1.74E-06,5.71E-09
16355.6104,1.71E-06,5.56E-09
16467.4727,1.69E-06,5.41E-09
16580.0977,1.67E-06,5.27E-09
16693.4922,1.64E-06,5.13E-09
16807.6641,1.62E-06,5.00E-09
16922.6191,1.60E-06,4.86E-09
17038.3574,1.58E-06,4.73E-09
17154.8887,1.56E-06,4.61E-09
17272.2148,1.53E-06,4.49E-09
17390.3457,1.51E-06,4.37E-09
17509.2832,1.49E-06,4.25E-09
17629.0352,1.47E-06,4.14E-09
17749.6055,1.45E-06,4.03E-09
17871,1.43E-06,3.92E-09
17993.2246,1.41E-06,3.82E-09
18116.2871,1.39E-06,3.72E-09
18240.1914,1.38E-06,3.62E-09
18364.9414,1.36E-06,3.53E-09
18490.543,1.34E-06,3.43E-09
18617.0059,1.32E-06,3.34E-09
18744.334,1.30E-06,3.26E-09
18872.5312,1.28E-06,3.17E-09
19001.6074,1.27E-06,3.09E-09
19131.5645,1.25E-06,3.01E-09
19262.4102,1.23E-06,2.93E-09
19394.1543,1.22E-06,2.85E-09
19526.7969,1.20E-06,2.77E-09
19660.3457,1.18E-06,2.70E-09
19794.8086,1.17E-06,2.63E-09
19930.1914,1.15E-06,2.56E-09
20066.5,1.14E-06,2.50E-09
20203.7402,1.12E-06,2.43E-09
20341.9199,1.10E-06,2.37E-09
20481.0449,1.09E-06,2.31E-09
20621.123,1.08E-06,2.25E-09
20762.1562,1.06E-06,2.19E-09
20904.1562,1.05E-06,2.13E-09
21047.125,1.03E-06,2.07E-09
21191.0723,1.02E-06,2.02E-09
21336.0039,1.00E-06,1.97E-09
21481.9277,9.91E-07,1.92E-09
21628.8496,9.77E-07,1.87E-09
21776.7754,9.64E-07,1.82E-09
21925.7148,9.51E-07,1.77E-09
22075.6699,9.38E-07,1.73E-09
22226.6543,9.25E-07,1.68E-09
22378.668,9.13E-07,1.64E-09
22531.7227,9.00E-07,1.60E-09
22685.8262,8.88E-07,1.56E-09
22840.9805,8.76E-07,1.52E-09
22997.1953,8.64E-07,1.48E-09
23154.4824,8.52E-07,1.44E-09
23312.8418,8.41E-07,1.40E-09
23472.2871,8.29E-07,1.37E-09
23632.8203,8.18E-07,1.33E-09
23794.4531,8.07E-07,1.30E-09
23957.1895,7.96E-07,1.27E-09
24121.041,7.85E-07,1.23E-09
24286.0117,7.75E-07,1.20E-09
24452.1094,7.64E-07,1.17E-09
24619.3457,7.54E-07,1.14E-09
24787.7246,7.43E-07,1.11E-09
24957.2559,7.33E-07,1.09E-09
25127.9473,7.23E-07,1.06E-09
25299.8047,7.14E-07,1.03E-09
25472.8379,7.04E-07,1.01E-09
25647.0547,6.94E-07,9.83E-10
25822.4629,6.85E-07,9.58E-10
25999.0703,6.76E-07,9.34E-10
26176.8848,6.67E-07,9.11E-10
26355.918,6.57E-07,8.89E-10
26536.1738,6.49E-07,8.67E-10
26717.6621,6.40E-07,8.46E-10
26900.3945,6.31E-07,8.25E-10
27084.373,6.23E-07,8.05E-10
27269.6113,6.14E-07,7.85E-10
27456.1172,6.06E-07,7.66E-10
27643.8984,5.98E-07,7.48E-10
27832.9648,5.89E-07,7.30E-10
28023.3203,5.81E-07,7.12E-10
28214.9805,5.74E-07,6.95E-10
28407.9531,5.66E-07,6.78E-10
28602.2441,5.58E-07,6.62E-10
28797.8633,5.51E-07,6.46E-10
28994.8223,5.43E-07,6.31E-10
29193.125,5.36E-07,6.16E-10
29392.7852,5.28E-07,6.01E-10
29593.8125,5.21E-07,5.87E-10
29796.2129,5.14E-07,5.73E-10
30000,5.07E-07,5.60E-10
