C,Density=2.2,
"Energy(eV),","Delta,",Beta
552.663757,0.001538589,0.000417605
555.025879,0.001526492,0.000411369
557.398071,0.00151449,0.000405225
559.780457,0.001502581,0.000399174
562.173035,0.001490733,0.000393213
564.575867,0.001478942,0.000387339
566.988892,0.001467244,0.000381554
569.412231,0.001455638,0.000375856
571.845947,0.00144408,0.000370242
574.2901,0.001432596,0.000364713
576.74469,0.001421203,0.000359267
579.209717,0.0014099,0.000353902
581.685364,0.001398634,0.000348617
584.171509,0.001387455,0.000343411
586.668335,0.001376364,0.000338283
589.175842,0.001365353,0.000333231
591.69397,0.00135439,0.000328255
594.222961,0.001343514,0.000323352
596.762695,0.001332726,0.000318523
599.313354,0.001322004,0.000313766
601.874878,0.001311343,0.00030908
604.447388,0.001300766,0.000304464
607.030823,0.001290275,0.000299917
609.625366,0.001279842,0.000295438
612.230957,0.001269478,0.000291026
614.847656,0.001259198,0.00028668
617.475647,0.001249001,0.000282399
620.114746,0.001238854,0.000278182
622.765198,0.001228785,0.000274027
625.426941,0.001218798,0.000269934
628.100098,0.001208887,0.000265903
630.784607,0.001199027,0.000261932
633.480652,0.001189248,0.00025802
636.188293,0.001179547,0.000254167
638.907349,0.001169915,0.000250372
641.638184,0.00116034,0.000246632
644.380554,0.001150845,0.000242949
647.134705,0.001141427,0.00023932
649.900635,0.001132066,0.000235746
652.678345,0.00112277,0.000232226
655.468018,0.00111355,0.000228758
658.269531,0.001104406,0.000225342
661.083069,0.001095304,0.000221977
663.90863,0.001086271,0.000218661
666.746216,0.001077312,0.000215395
669.595947,0.001068424,0.000212183
672.457886,0.001059575,0.000209069
675.332031,0.001050799,0.000206
678.218445,0.001042096,0.000202977
681.117249,0.001033473,0.000200014
684.028381,0.00102494,0.00019713
686.951965,0.001016477,0.000194288
689.888062,0.001008084,0.000191486
692.836792,0.000999826,0.000188735
695.797974,0.000991689,0.00018603
698.771912,0.000983618,0.000183364
701.758484,0.000975612,0.000180736
704.757935,0.000967707,0.000178023
707.770081,0.000959876,0.00017532
710.795227,0.000952107,0.000172659
713.833191,0.000944398,0.000170034
716.884216,0.000936638,0.000167353
719.948242,0.000928943,0.000164714
723.025391,0.00092131,0.000162117
726.115662,0.000913721,0.00015956
729.219116,0.000906144,0.000157044
732.335938,0.00089863,0.000154568
735.466003,0.000891178,0.000152131
738.609436,0.000883767,0.000149733
741.766357,0.000876398,0.000147372
744.936707,0.00086909,0.000145048
748.120667,0.000861843,0.000142761
751.318237,0.000854633,0.00014051
754.529419,0.000847477,0.000138295
757.754333,0.00084038,0.000136115
760.993042,0.000833342,0.000133969
764.245605,0.00082634,0.000131856
767.512085,0.000819397,0.000129776
770.792542,0.000812512,0.00012773
774.086975,0.00080568,0.000125715
777.395508,0.00079889,0.000123732
780.71814,0.000792158,0.00012178
784.054993,0.000785482,0.000119859
787.406128,0.000778854,0.000117968
790.771606,0.000772274,0.000116106
794.151428,0.000765748,0.000114274
797.545715,0.000759278,0.000112471
800.954529,0.000752853,0.000110696
804.377869,0.000746477,0.000108949
807.815857,0.000740155,0.000107229
811.268555,0.000733887,0.000105537
814.736023,0.00072766,0.000103872
818.218262,0.000721486,0.000102232
821.715393,0.000715364,0.000100619
825.227478,0.000709292,9.90E-05
828.754578,0.000703264,9.75E-05
832.296814,0.000697287,9.59E-05
835.854126,0.000691361,9.44E-05
839.426636,0.000685482,9.29E-05
843.014404,0.00067965,9.15E-05
846.617554,0.000673866,9.00E-05
850.236145,0.000668132,8.86E-05
853.870117,0.000662441,8.72E-05
857.519653,0.000656796,8.58E-05
861.184753,0.000651198,8.44E-05
864.86554,0.000645649,8.31E-05
868.562073,0.000640137,8.18E-05
872.274414,0.000634671,8.05E-05
876.002563,0.000629252,7.92E-05
879.746704,0.000623878,7.79E-05
883.506836,0.000618542,7.67E-05
887.28302,0.000613253,7.55E-05
891.075378,0.000608008,7.43E-05
894.883911,0.000602806,7.31E-05
898.70874,0.000597644,7.20E-05
902.549927,0.000592527,7.08E-05
906.407471,0.000587454,6.97E-05
910.281616,0.000582421,6.86E-05
914.172241,0.00057743,6.75E-05
918.079468,0.000572482,6.64E-05
922.003418,0.000567576,6.54E-05
925.944153,0.000562708,6.43E-05
929.901794,0.000557882,6.33E-05
933.876282,0.000553097,6.23E-05
937.867737,0.000548352,6.13E-05
941.876282,0.000543643,6.03E-05
945.901917,0.000538974,5.94E-05
949.944824,0.000534345,5.84E-05
954.005005,0.000529754,5.75E-05
958.08252,0.0005252,5.66E-05
962.177429,0.000520685,5.57E-05
966.289856,0.000516209,5.48E-05
970.419922,0.000511769,5.39E-05
974.567566,0.000507366,5.30E-05
978.733032,0.000503,5.22E-05
982.916199,0.000498672,5.14E-05
987.11731,0.000494379,5.05E-05
991.336365,0.000490122,4.97E-05
995.573425,0.000485902,4.89E-05
999.828552,0.000481718,4.82E-05
1004.10199,0.000477568,4.74E-05
1008.39355,0.000473453,4.66E-05
1012.70355,0.000469375,4.59E-05
1017.03192,0.000465331,4.52E-05
1021.37885,0.000461323,4.44E-05
1025.74426,0.00045735,4.37E-05
1030.12842,0.00045341,4.30E-05
1034.53137,0.000449505,4.23E-05
1038.95312,0.000445635,4.17E-05
1043.39355,0.000441798,4.10E-05
1047.85327,0.000437993,4.03E-05
1052.33179,0.000434217,3.97E-05
1056.82959,0.000430472,3.90E-05
1061.34656,0.00042676,3.84E-05
1065.88293,0.000423079,3.78E-05
1070.4386,0.000419426,3.72E-05
1075.01379,0.000415805,3.66E-05
1079.6084,0.000412214,3.60E-05
1084.22278,0.000408654,3.54E-05
1088.85693,0.000405123,3.48E-05
1093.51074,0.000401623,3.43E-05
1098.18457,0.000398153,3.37E-05
1102.8783,0.000394712,3.32E-05
1107.59216,0.0003913,3.26E-05
1112.32617,0.000387917,3.21E-05
1117.08032,0.000384563,3.16E-05
1121.85474,0.000381237,3.11E-05
1126.64978,0.000377939,3.06E-05
1131.46509,0.00037467,3.01E-05
1136.30115,0.000371429,2.96E-05
1141.15771,0.000368216,2.91E-05
1146.03516,0.00036503,2.86E-05
1150.93347,0.000361871,2.82E-05
1155.85266,0.00035874,2.77E-05
1160.79297,0.000355635,2.73E-05
1165.75427,0.000352557,2.68E-05
1170.73682,0.000349506,2.64E-05
1175.74072,0.000346481,2.60E-05
1180.76587,0.000343482,2.56E-05
1185.81262,0.000340508,2.51E-05
1190.88086,0.000337561,2.47E-05
1195.97095,0.000334639,2.43E-05
1201.08264,0.000331742,2.39E-05
1206.21606,0.000328871,2.36E-05
1211.37158,0.000326024,2.32E-05
1216.54919,0.000323202,2.28E-05
1221.74878,0.000320404,2.24E-05
1226.9707,0.000317631,2.21E-05
1232.21484,0.000314882,2.17E-05
1237.48145,0.000312157,2.14E-05
1242.77051,0.000309456,2.10E-05
1248.08228,0.000306778,2.07E-05
1253.41675,0.000304123,2.03E-05
1258.77393,0.000301491,2.00E-05
1264.15405,0.000298882,1.97E-05
