C,Density=2.2,
"Energy(eV),","Delta,",Beta
3058.20581,4.96E-05,6.06E-07
3079.12183,4.89E-05,5.90E-07
3100.18091,4.82E-05,5.74E-07
3121.38379,4.75E-05,5.59E-07
3142.73218,4.69E-05,5.43E-07
3164.22607,4.63E-05,5.29E-07
3185.86719,4.56E-05,5.14E-07
3207.65649,4.50E-05,5.01E-07
3229.59448,4.44E-05,4.87E-07
3251.68286,4.38E-05,4.74E-07
3273.92188,4.32E-05,4.61E-07
3296.31323,4.26E-05,4.49E-07
3318.85791,4.20E-05,4.36E-07
3341.55664,4.14E-05,4.25E-07
3364.4104,4.09E-05,4.13E-07
3387.42065,4.03E-05,4.02E-07
3410.58838,3.98E-05,3.91E-07
3433.91431,3.92E-05,3.80E-07
3457.40015,3.87E-05,3.70E-07
3481.04614,3.81E-05,3.60E-07
3504.85425,3.76E-05,3.50E-07
3528.82495,3.71E-05,3.41E-07
3552.95972,3.66E-05,3.31E-07
3577.25952,3.61E-05,3.22E-07
3601.72559,3.56E-05,3.14E-07
3626.35864,3.51E-05,3.05E-07
3651.1604,3.46E-05,2.97E-07
3676.13208,3.42E-05,2.89E-07
3701.27417,3.37E-05,2.81E-07
3726.58813,3.32E-05,2.73E-07
3752.07568,3.28E-05,2.66E-07
3777.73706,3.23E-05,2.59E-07
3803.57422,3.19E-05,2.52E-07
3829.58813,3.15E-05,2.45E-07
3855.77979,3.10E-05,2.38E-07
3882.15088,3.06E-05,2.31E-07
3908.7019,3.02E-05,2.25E-07
3935.43481,2.98E-05,2.19E-07
3962.35034,2.94E-05,2.13E-07
3989.4502,2.90E-05,2.07E-07
4016.73511,2.86E-05,2.02E-07
4044.20703,2.82E-05,1.96E-07
4071.86646,2.78E-05,1.91E-07
4099.71533,2.74E-05,1.85E-07
4127.75488,2.70E-05,1.80E-07
4155.98535,2.67E-05,1.75E-07
4184.40967,2.63E-05,1.71E-07
4213.02783,2.60E-05,1.66E-07
4241.84229,2.56E-05,1.61E-07
4270.85352,2.53E-05,1.57E-07
4300.06299,2.49E-05,1.53E-07
4329.47266,2.46E-05,1.49E-07
4359.08301,2.42E-05,1.44E-07
4388.89648,2.39E-05,1.40E-07
4418.91357,2.36E-05,1.37E-07
