Au,Density=19.32,
"Energy(eV),","Delta,",Beta
3296.31323,0.000245616,0.000105453
3318.85791,0.000243482,0.000103204
3341.55664,0.000241154,0.000100989
3364.4104,0.000238636,9.88E-05
3387.42065,0.00023613,9.68E-05
3410.58838,0.000233574,9.52E-05
3433.91431,0.000231044,9.37E-05
3457.40015,0.00022918,9.22E-05
3481.04614,0.000227493,9.07E-05
3504.85425,0.000225763,8.89E-05
3528.82495,0.000223979,8.67E-05
3552.95972,0.000222156,8.45E-05
3577.25952,0.000219825,8.26E-05
3601.72559,0.000217515,8.07E-05
3626.35864,0.000215217,7.88E-05
3651.1604,0.000212937,7.70E-05
3676.13208,0.000210666,7.53E-05
3701.27417,0.000208393,7.36E-05
3726.58813,0.000206143,7.19E-05
3752.07568,0.000203901,7.03E-05
3777.73706,0.000201681,6.88E-05
3803.57422,0.000199467,6.72E-05
3829.58813,0.000197267,6.56E-05
3855.77979,0.000195072,6.41E-05
3882.15088,0.000192862,6.26E-05
3908.7019,0.000190676,6.12E-05
3935.43481,0.000188481,5.98E-05
3962.35034,0.000186308,5.84E-05
3989.4502,0.000184153,5.71E-05
4016.73511,0.000182018,5.58E-05
4044.20703,0.000179898,5.45E-05
4071.86646,0.000177775,5.32E-05
4099.71533,0.000175677,5.19E-05
4127.75488,0.000173628,5.07E-05
4155.98535,0.000171605,4.95E-05
4184.40967,0.0001695,4.83E-05
4213.02783,0.000167334,4.70E-05
4241.84229,0.000165192,4.58E-05
4270.85352,0.000163063,4.49E-05
4300.06299,0.000160961,4.40E-05
4329.47266,0.000159007,4.30E-05
4359.08301,0.000157101,4.20E-05
4388.89648,0.000155186,4.10E-05
4418.91357,0.000153261,4.01E-05
4449.13574,0.00015136,3.92E-05
4479.56445,0.000149479,3.83E-05
4510.20215,0.000147622,3.74E-05
4541.04834,0.00014577,3.65E-05
4572.10645,0.000143935,3.57E-05
4603.37646,0.000142118,3.48E-05
4634.85986,0.000140318,3.40E-05
4666.55908,0.000138539,3.32E-05
4698.47559,0.000136767,3.25E-05
4730.60986,0.000135019,3.17E-05
4762.96387,0.000133281,3.10E-05
4795.53955,0.000131562,3.02E-05
4828.3374,0.000129862,2.95E-05
4861.35986,0.000128181,2.89E-05
4894.60791,0.000126521,2.82E-05
4928.08398,0.000124871,2.75E-05
4961.78857,0.000123242,2.69E-05
4995.72363,0.000121633,2.63E-05
5029.89111,0.000120044,2.57E-05
5064.29199,0.000118483,2.52E-05
5098.92822,0.000116957,2.46E-05
5133.80127,0.000115451,2.40E-05
5168.91357,0.000113927,2.35E-05
5204.26514,0.000112422,2.29E-05
5239.8584,0.000110961,2.24E-05
5275.69531,0.000109535,2.20E-05
5311.77783,0.000108135,2.15E-05
5348.10645,0.000106776,2.10E-05
5384.68408,0.000105434,2.04E-05
5421.51172,0.000104043,2.00E-05
5458.59082,0.000102661,1.95E-05
5495.92383,0.000101301,1.90E-05
5533.51221,1.00E-04,1.86E-05
5571.35791,9.86E-05,1.81E-05
5609.46191,9.73E-05,1.77E-05
5647.82666,9.60E-05,1.73E-05
5686.45361,9.48E-05,1.69E-05
5725.34521,9.35E-05,1.65E-05
5764.50244,9.23E-05,1.61E-05
5803.92773,9.10E-05,1.58E-05
5843.62256,8.98E-05,1.54E-05
5883.58936,8.87E-05,1.50E-05
5923.82861,8.75E-05,1.46E-05
5964.34375,8.63E-05,1.43E-05
6005.13574,8.52E-05,1.40E-05
6046.20654,8.40E-05,1.36E-05
6087.55811,8.29E-05,1.33E-05
6129.19336,8.18E-05,1.30E-05
6171.1123,8.07E-05,1.27E-05
6213.31885,7.96E-05,1.24E-05
6255.81348,7.85E-05,1.21E-05
6298.59863,7.75E-05,1.18E-05
6341.67725,7.64E-05,1.15E-05
6385.0498,7.54E-05,1.12E-05
6428.71924,7.44E-05,1.09E-05
6472.68701,7.34E-05,1.07E-05
6516.95605,7.24E-05,1.04E-05
6561.52734,7.14E-05,1.02E-05
6606.40332,7.04E-05,9.91E-06
6651.58643,6.95E-05,9.67E-06
6697.0791,6.85E-05,9.44E-06
6742.88232,6.76E-05,9.21E-06
6788.99902,6.67E-05,8.99E-06
6835.43115,6.58E-05,8.77E-06
6882.18066,6.49E-05,8.55E-06
6929.25,6.40E-05,8.35E-06
6976.64111,6.31E-05,8.14E-06
7024.35693,6.22E-05,7.95E-06
7072.39844,6.14E-05,7.75E-06
7120.76904,6.05E-05,7.56E-06
7169.46973,5.97E-05,7.38E-06
7218.50439,5.89E-05,7.20E-06
7267.87354,5.81E-05,7.02E-06
7317.58105,5.73E-05,6.85E-06
7367.62793,5.65E-05,6.69E-06
7418.01807,5.57E-05,6.52E-06
7468.75195,5.49E-05,6.36E-06
7519.83301,5.42E-05,6.21E-06
7571.26318,5.34E-05,6.06E-06
7623.04541,5.27E-05,5.91E-06
7675.18164,5.20E-05,5.76E-06
7727.6748,5.12E-05,5.62E-06
7780.52686,5.05E-05,5.49E-06
7833.74023,4.98E-05,5.35E-06
7887.31787,4.91E-05,5.22E-06
7941.26123,4.85E-05,5.09E-06
7995.57422,4.78E-05,4.97E-06
8050.25879,4.71E-05,4.85E-06
8105.31641,4.65E-05,4.73E-06
8160.75146,4.58E-05,4.61E-06
8216.56543,4.52E-05,4.50E-06
8272.76074,4.45E-05,4.39E-06
8329.34082,4.39E-05,4.28E-06
8386.30762,4.33E-05,4.18E-06
8443.66406,4.27E-05,4.08E-06
8501.41309,4.21E-05,3.98E-06
8559.55664,4.15E-05,3.88E-06
8618.09863,4.09E-05,3.79E-06
8677.04004,4.03E-05,3.69E-06
8736.38574,3.98E-05,3.60E-06
8796.13574,3.92E-05,3.52E-06
8856.2959,3.87E-05,3.43E-06
8916.86621,3.81E-05,3.35E-06
8977.85156,3.76E-05,3.26E-06
9039.25391,3.70E-05,3.18E-06
9101.07617,3.65E-05,3.11E-06
9163.32129,3.60E-05,3.03E-06
9225.99219,3.55E-05,2.96E-06
9289.09082,3.50E-05,2.88E-06
9352.62207,3.45E-05,2.81E-06
