N1.562O.42C.0003Ar.0094,Density=0.1200E-02,
"Energy(eV),","Delta,",Beta
2915.71826,2.99E-08,7.15E-10
2935.65991,2.95E-08,6.96E-10
2955.73755,2.91E-08,6.78E-10
2975.95288,2.87E-08,6.60E-10
2996.3064,2.83E-08,6.42E-10
3016.79907,2.79E-08,6.25E-10
3037.43164,2.75E-08,6.08E-10
3058.20581,2.71E-08,5.92E-10
3079.12183,2.67E-08,5.76E-10
3100.18091,2.64E-08,5.61E-10
3121.38379,2.60E-08,5.46E-10
3142.73218,2.56E-08,5.32E-10
3164.22607,2.53E-08,5.17E-10
3185.86719,2.49E-08,5.04E-10
3207.65649,2.45E-08,5.50E-10
3229.59448,2.43E-08,5.35E-10
3251.68286,2.39E-08,5.21E-10
3273.92188,2.36E-08,5.08E-10
3296.31323,2.33E-08,4.94E-10
3318.85791,2.30E-08,4.81E-10
3341.55664,2.27E-08,4.68E-10
3364.4104,2.24E-08,4.56E-10
3387.42065,2.21E-08,4.44E-10
3410.58838,2.18E-08,4.32E-10
3433.91431,2.15E-08,4.21E-10
3457.40015,2.12E-08,4.10E-10
3481.04614,2.09E-08,3.99E-10
3504.85425,2.06E-08,3.88E-10
3528.82495,2.03E-08,3.78E-10
3552.95972,2.00E-08,3.68E-10
3577.25952,1.98E-08,3.58E-10
3601.72559,1.95E-08,3.49E-10
3626.35864,1.92E-08,3.40E-10
3651.1604,1.90E-08,3.31E-10
3676.13208,1.87E-08,3.22E-10
3701.27417,1.85E-08,3.13E-10
3726.58813,1.82E-08,3.05E-10
3752.07568,1.80E-08,2.97E-10
3777.73706,1.77E-08,2.89E-10
3803.57422,1.75E-08,2.81E-10
3829.58813,1.72E-08,2.74E-10
3855.77979,1.70E-08,2.66E-10
3882.15088,1.68E-08,2.59E-10
3908.7019,1.65E-08,2.52E-10
3935.43481,1.63E-08,2.46E-10
3962.35034,1.61E-08,2.39E-10
3989.4502,1.59E-08,2.33E-10
4016.73511,1.56E-08,2.26E-10
4044.20703,1.54E-08,2.20E-10
4071.86646,1.52E-08,2.14E-10
4099.71533,1.50E-08,2.09E-10
4127.75488,1.48E-08,2.03E-10
4155.98535,1.46E-08,1.98E-10
4184.40967,1.44E-08,1.92E-10
4213.02783,1.42E-08,1.87E-10
4241.84229,1.40E-08,1.82E-10
4270.85352,1.38E-08,1.77E-10
4300.06299,1.36E-08,1.73E-10
4329.47266,1.34E-08,1.68E-10
4359.08301,1.33E-08,1.63E-10
4388.89648,1.31E-08,1.59E-10
4418.91357,1.29E-08,1.55E-10
4449.13574,1.27E-08,1.51E-10
4479.56445,1.26E-08,1.47E-10
4510.20215,1.24E-08,1.43E-10
4541.04834,1.22E-08,1.39E-10
4572.10645,1.20E-08,1.35E-10
4603.37646,1.19E-08,1.31E-10
4634.85986,1.17E-08,1.28E-10
4666.55908,1.16E-08,1.24E-10
4698.47559,1.14E-08,1.21E-10
4730.60986,1.12E-08,1.18E-10
4762.96387,1.11E-08,1.15E-10
4795.53955,1.09E-08,1.12E-10
4828.3374,1.08E-08,1.09E-10
4861.35986,1.06E-08,1.06E-10
4894.60791,1.05E-08,1.03E-10
4928.08398,1.04E-08,1.00E-10
