Si,Density=2.33,
"Energy(eV),","Delta,",Beta
3037.43164,5.31E-05,7.17E-06
3058.20581,5.24E-05,6.99E-06
3079.12183,5.17E-05,6.82E-06
3100.18091,5.11E-05,6.65E-06
3121.38379,5.04E-05,6.48E-06
3142.73218,4.98E-05,6.32E-06
3164.22607,4.91E-05,6.16E-06
3185.86719,4.85E-05,6.01E-06
3207.65649,4.78E-05,5.86E-06
3229.59448,4.72E-05,5.71E-06
3251.68286,4.66E-05,5.57E-06
3273.92188,4.60E-05,5.43E-06
3296.31323,4.54E-05,5.30E-06
3318.85791,4.48E-05,5.16E-06
3341.55664,4.42E-05,5.03E-06
3364.4104,4.36E-05,4.91E-06
3387.42065,4.30E-05,4.79E-06
3410.58838,4.25E-05,4.67E-06
3433.91431,4.19E-05,4.55E-06
3457.40015,4.13E-05,4.43E-06
3481.04614,4.08E-05,4.32E-06
3504.85425,4.03E-05,4.21E-06
3528.82495,3.97E-05,4.11E-06
3552.95972,3.92E-05,4.00E-06
3577.25952,3.87E-05,3.90E-06
3601.72559,3.82E-05,3.80E-06
3626.35864,3.77E-05,3.71E-06
3651.1604,3.72E-05,3.61E-06
3676.13208,3.67E-05,3.52E-06
3701.27417,3.62E-05,3.43E-06
3726.58813,3.57E-05,3.35E-06
3752.07568,3.52E-05,3.26E-06
3777.73706,3.47E-05,3.18E-06
3803.57422,3.43E-05,3.10E-06
3829.58813,3.38E-05,3.02E-06
3855.77979,3.34E-05,2.94E-06
3882.15088,3.29E-05,2.87E-06
3908.7019,3.25E-05,2.80E-06
3935.43481,3.20E-05,2.73E-06
3962.35034,3.16E-05,2.66E-06
3989.4502,3.12E-05,2.59E-06
4016.73511,3.08E-05,2.52E-06
4044.20703,3.03E-05,2.46E-06
4071.86646,2.99E-05,2.40E-06
4099.71533,2.95E-05,2.34E-06
4127.75488,2.91E-05,2.28E-06
4155.98535,2.87E-05,2.22E-06
4184.40967,2.83E-05,2.16E-06
4213.02783,2.80E-05,2.11E-06
4241.84229,2.76E-05,2.05E-06
4270.85352,2.72E-05,2.00E-06
4300.06299,2.68E-05,1.95E-06
4329.47266,2.65E-05,1.90E-06
4359.08301,2.61E-05,1.85E-06
4388.89648,2.58E-05,1.80E-06
4418.91357,2.54E-05,1.76E-06
4449.13574,2.51E-05,1.71E-06
4479.56445,2.47E-05,1.67E-06
4510.20215,2.44E-05,1.63E-06
4541.04834,2.41E-05,1.58E-06
4572.10645,2.37E-05,1.54E-06
4603.37646,2.34E-05,1.50E-06
4634.85986,2.31E-05,1.46E-06
4666.55908,2.28E-05,1.43E-06
4698.47559,2.25E-05,1.39E-06
4730.60986,2.22E-05,1.35E-06
4762.96387,2.19E-05,1.32E-06
4795.53955,2.16E-05,1.29E-06
4828.3374,2.13E-05,1.25E-06
4861.35986,2.10E-05,1.22E-06
4894.60791,2.07E-05,1.19E-06
4928.08398,2.04E-05,1.16E-06
4961.78857,2.01E-05,1.13E-06
4995.72363,1.99E-05,1.10E-06
5029.89111,1.96E-05,1.07E-06
5064.29199,1.93E-05,1.04E-06
5098.92822,1.91E-05,1.02E-06
5133.80127,1.88E-05,9.90E-07
5168.91357,1.85E-05,9.64E-07
5204.26514,1.83E-05,9.39E-07
5239.8584,1.80E-05,9.15E-07
5275.69531,1.78E-05,8.92E-07
5311.77783,1.76E-05,8.68E-07
5348.10645,1.73E-05,8.46E-07
5384.68408,1.71E-05,8.24E-07
5421.51172,1.68E-05,8.03E-07
5458.59082,1.66E-05,7.82E-07
5495.92383,1.64E-05,7.62E-07
5533.51221,1.62E-05,7.42E-07
5571.35791,1.59E-05,7.23E-07
5609.46191,1.57E-05,7.04E-07
5647.82666,1.55E-05,6.86E-07
5686.45361,1.53E-05,6.68E-07
5725.34521,1.51E-05,6.50E-07
5764.50244,1.49E-05,6.34E-07
5803.92773,1.47E-05,6.17E-07
5843.62256,1.45E-05,6.01E-07
5883.58936,1.43E-05,5.85E-07
5923.82861,1.41E-05,5.70E-07
5964.34375,1.39E-05,5.55E-07
6005.13574,1.37E-05,5.41E-07
6046.20654,1.35E-05,5.27E-07
6087.55811,1.33E-05,5.13E-07
6129.19336,1.31E-05,5.00E-07
6171.1123,1.30E-05,4.87E-07
6213.31885,1.28E-05,4.74E-07
6255.81348,1.26E-05,4.62E-07
6298.59863,1.24E-05,4.50E-07
6341.67725,1.23E-05,4.38E-07
6385.0498,1.21E-05,4.26E-07
6428.71924,1.19E-05,4.15E-07
6472.68701,1.18E-05,4.05E-07
6516.95605,1.16E-05,3.94E-07
6561.52734,1.15E-05,3.84E-07
6606.40332,1.13E-05,3.74E-07
6651.58643,1.11E-05,3.64E-07
6697.0791,1.10E-05,3.54E-07
6742.88232,1.08E-05,3.45E-07
6788.99902,1.07E-05,3.36E-07
6835.43115,1.05E-05,3.27E-07
6882.18066,1.04E-05,3.19E-07
6929.25,1.03E-05,3.10E-07
6976.64111,1.01E-05,3.02E-07
7024.35693,9.98E-06,2.94E-07
7072.39844,9.84E-06,2.87E-07
7120.76904,9.71E-06,2.79E-07
7169.46973,9.58E-06,2.72E-07
7218.50439,9.45E-06,2.65E-07
7267.87354,9.32E-06,2.58E-07
