C,Density=3.52,
"Energy(eV),","Delta,",Beta
3100.18091,7.71E-05,9.18E-07
3121.38379,7.61E-05,8.94E-07
3142.73218,7.50E-05,8.69E-07
3164.22607,7.40E-05,8.46E-07
3185.86719,7.30E-05,8.23E-07
3207.65649,7.20E-05,8.01E-07
3229.59448,7.10E-05,7.79E-07
3251.68286,7.00E-05,7.58E-07
3273.92188,6.91E-05,7.38E-07
3296.31323,6.81E-05,7.18E-07
3318.85791,6.72E-05,6.98E-07
3341.55664,6.63E-05,6.79E-07
3364.4104,6.54E-05,6.61E-07
3387.42065,6.45E-05,6.43E-07
3410.58838,6.36E-05,6.26E-07
3433.91431,6.27E-05,6.09E-07
3457.40015,6.19E-05,5.92E-07
3481.04614,6.10E-05,5.76E-07
3504.85425,6.02E-05,5.60E-07
3528.82495,5.94E-05,5.45E-07
3552.95972,5.86E-05,5.30E-07
3577.25952,5.78E-05,5.16E-07
3601.72559,5.70E-05,5.02E-07
3626.35864,5.62E-05,4.88E-07
3651.1604,5.54E-05,4.75E-07
3676.13208,5.47E-05,4.62E-07
3701.27417,5.39E-05,4.49E-07
3726.58813,5.32E-05,4.37E-07
3752.07568,5.25E-05,4.25E-07
3777.73706,5.17E-05,4.14E-07
3803.57422,5.10E-05,4.02E-07
3829.58813,5.03E-05,3.91E-07
3855.77979,4.97E-05,3.81E-07
3882.15088,4.90E-05,3.70E-07
3908.7019,4.83E-05,3.60E-07
3935.43481,4.76E-05,3.50E-07
3962.35034,4.70E-05,3.41E-07
3989.4502,4.64E-05,3.32E-07
4016.73511,4.57E-05,3.23E-07
4044.20703,4.51E-05,3.14E-07
4071.86646,4.45E-05,3.05E-07
4099.71533,4.39E-05,2.97E-07
4127.75488,4.33E-05,2.89E-07
4155.98535,4.27E-05,2.81E-07
4184.40967,4.21E-05,2.73E-07
4213.02783,4.15E-05,2.66E-07
4241.84229,4.10E-05,2.58E-07
4270.85352,4.04E-05,2.51E-07
4300.06299,3.99E-05,2.44E-07
4329.47266,3.93E-05,2.38E-07
4359.08301,3.88E-05,2.31E-07
4388.89648,3.82E-05,2.25E-07
4418.91357,3.77E-05,2.19E-07
4449.13574,3.72E-05,2.13E-07
4479.56445,3.67E-05,2.07E-07
4510.20215,3.62E-05,2.01E-07
4541.04834,3.57E-05,1.96E-07
4572.10645,3.52E-05,1.90E-07
4603.37646,3.47E-05,1.85E-07
4634.85986,3.43E-05,1.80E-07
4666.55908,3.38E-05,1.75E-07
4698.47559,3.33E-05,1.70E-07
4730.60986,3.29E-05,1.65E-07
4762.96387,3.24E-05,1.61E-07
4795.53955,3.20E-05,1.56E-07
4828.3374,3.16E-05,1.52E-07
4861.35986,3.11E-05,1.48E-07
4894.60791,3.07E-05,1.44E-07
4928.08398,3.03E-05,1.40E-07
4961.78857,2.99E-05,1.36E-07
4995.72363,2.95E-05,1.32E-07
5029.89111,2.91E-05,1.29E-07
5064.29199,2.87E-05,1.25E-07
5098.92822,2.83E-05,1.22E-07
5133.80127,2.79E-05,1.18E-07
5168.91357,2.75E-05,1.15E-07
5204.26514,2.71E-05,1.12E-07
5239.8584,2.68E-05,1.09E-07
5275.69531,2.64E-05,1.06E-07
5311.77783,2.60E-05,1.03E-07
5348.10645,2.57E-05,1.00E-07
5384.68408,2.53E-05,9.73E-08
5421.51172,2.50E-05,9.46E-08
5458.59082,2.47E-05,9.20E-08
5495.92383,2.43E-05,8.94E-08
5533.51221,2.40E-05,8.70E-08
5571.35791,2.37E-05,8.46E-08
5609.46191,2.33E-05,8.22E-08
5647.82666,2.30E-05,8.00E-08
5686.45361,2.27E-05,7.77E-08
5725.34521,2.24E-05,7.56E-08
5764.50244,2.21E-05,7.35E-08
5803.92773,2.18E-05,7.15E-08
5843.62256,2.15E-05,6.95E-08
5883.58936,2.12E-05,6.76E-08
5923.82861,2.09E-05,6.57E-08
5964.34375,2.06E-05,6.39E-08
6005.13574,2.04E-05,6.21E-08
6046.20654,2.01E-05,6.04E-08
6087.55811,1.98E-05,5.87E-08
6129.19336,1.95E-05,5.71E-08
6171.1123,1.93E-05,5.55E-08
6213.31885,1.90E-05,5.40E-08
6255.81348,1.87E-05,5.25E-08
6298.59863,1.85E-05,5.10E-08
6341.67725,1.82E-05,4.96E-08
6385.0498,1.80E-05,4.82E-08
6428.71924,1.77E-05,4.69E-08
6472.68701,1.75E-05,4.56E-08
6516.95605,1.73E-05,4.43E-08
6561.52734,1.70E-05,4.31E-08
6606.40332,1.68E-05,4.19E-08
6651.58643,1.66E-05,4.08E-08
6697.0791,1.64E-05,3.96E-08
6742.88232,1.61E-05,3.85E-08
6788.99902,1.59E-05,3.75E-08
6835.43115,1.57E-05,3.64E-08
6882.18066,1.55E-05,3.54E-08
6929.25,1.53E-05,3.44E-08
6976.64111,1.51E-05,3.35E-08
7024.35693,1.49E-05,3.25E-08
7072.39844,1.47E-05,3.16E-08
7120.76904,1.45E-05,3.08E-08
7169.46973,1.43E-05,2.99E-08
7218.50439,1.41E-05,2.91E-08
7267.87354,1.39E-05,2.83E-08
7317.58105,1.37E-05,2.75E-08
7367.62793,1.35E-05,2.67E-08
7418.01807,1.33E-05,2.60E-08
7468.75195,1.31E-05,2.53E-08
7519.83301,1.30E-05,2.46E-08
7571.26318,1.28E-05,2.39E-08
7623.04541,1.26E-05,2.32E-08
7675.18164,1.24E-05,2.26E-08
7727.6748,1.23E-05,2.20E-08
7780.52686,1.21E-05,2.13E-08
7833.74023,1.19E-05,2.08E-08
7887.31787,1.18E-05,2.02E-08
7941.26123,1.16E-05,1.96E-08
7995.57422,1.15E-05,1.91E-08
8050.25879,1.13E-05,1.86E-08
8105.31641,1.11E-05,1.80E-08
8160.75146,1.10E-05,1.75E-08
8216.56543,1.08E-05,1.71E-08
8272.76074,1.07E-05,1.66E-08
8329.34082,1.06E-05,1.61E-08
8386.30762,1.04E-05,1.57E-08
8443.66406,1.03E-05,1.52E-08
8501.41309,1.01E-05,1.48E-08
8559.55664,9.99E-06,1.44E-08
8618.09863,9.86E-06,1.40E-08
8677.04004,9.72E-06,1.36E-08
8736.38574,9.59E-06,1.33E-08
8796.13574,9.46E-06,1.29E-08
8856.2959,9.33E-06,1.25E-08
8916.86621,9.21E-06,1.22E-08
8977.85156,9.08E-06,1.19E-08
9039.25391,8.96E-06,1.15E-08
9101.07617,8.84E-06,1.12E-08
9163.32129,8.72E-06,1.09E-08
9225.99219,8.60E-06,1.06E-08
9289.09082,8.48E-06,1.03E-08
9352.62207,8.37E-06,1.00E-08
9416.58789,8.25E-06,9.75E-09
9480.99023,8.14E-06,9.49E-09
9545.83496,8.03E-06,9.23E-09
9611.12109,7.92E-06,8.97E-09
9676.85449,7.81E-06,8.73E-09
9743.03711,7.71E-06,8.49E-09
9809.67285,7.60E-06,8.26E-09
9876.76465,7.50E-06,8.03E-09
9944.31543,7.40E-06,7.81E-09
10012.3271,7.30E-06,7.60E-09
10080.8047,7.20E-06,7.39E-09
10149.75,7.10E-06,7.19E-09
10219.168,7.00E-06,7.00E-09
10289.0596,6.91E-06,6.81E-09
10359.4297,6.82E-06,6.62E-09
10430.2803,6.72E-06,6.44E-09
10501.6162,6.63E-06,6.27E-09
10573.4404,6.54E-06,6.10E-09
10645.7559,6.45E-06,5.93E-09
10718.5654,6.37E-06,5.77E-09
10791.873,6.28E-06,5.62E-09
10865.6816,6.19E-06,5.47E-09
10939.9961,6.11E-06,5.32E-09
11014.8174,6.03E-06,5.18E-09
11090.1504,5.95E-06,5.04E-09
11166,5.87E-06,4.90E-09
11242.3682,5.79E-06,4.77E-09
11319.2578,5.71E-06,4.64E-09
11396.6738,5.63E-06,4.52E-09
11474.6191,5.55E-06,4.40E-09
11553.0977,5.48E-06,4.28E-09
11632.1123,5.40E-06,4.17E-09
11711.6689,5.33E-06,4.06E-09
11791.7686,5.26E-06,3.95E-09
11872.416,5.19E-06,3.84E-09
11953.6152,5.12E-06,3.74E-09
12035.3701,5.05E-06,3.64E-09
12117.6836,4.98E-06,3.55E-09
12200.5596,4.91E-06,3.46E-09
12284.0029,4.84E-06,3.37E-09
12368.0176,4.78E-06,3.28E-09
12452.6064,4.71E-06,3.19E-09
12537.7734,4.65E-06,3.11E-09
12623.5225,4.59E-06,3.03E-09
12709.8594,4.53E-06,2.95E-09
12796.7852,4.46E-06,2.87E-09
12884.3066,4.40E-06,2.80E-09
12972.4268,4.34E-06,2.73E-09
13061.1484,4.28E-06,2.66E-09
13150.4785,4.23E-06,2.59E-09
13240.418,4.17E-06,2.52E-09
13330.9736,4.11E-06,2.46E-09
13422.1475,4.06E-06,2.40E-09
13513.9463,4.00E-06,2.34E-09
13606.373,3.95E-06,2.28E-09
13699.4307,3.89E-06,2.22E-09
13793.125,3.84E-06,2.16E-09
13887.4609,3.79E-06,2.11E-09
13982.4414,3.74E-06,2.06E-09
14078.0713,3.69E-06,2.01E-09
14174.3555,3.64E-06,1.96E-09
14271.2988,3.59E-06,1.91E-09
14368.9043,3.54E-06,1.86E-09
14467.1777,3.49E-06,1.82E-09
14566.123,3.44E-06,1.77E-09
14665.7461,3.40E-06,1.73E-09
14766.0498,3.35E-06,1.69E-09
14867.0391,3.31E-06,1.65E-09
14968.7188,3.26E-06,1.61E-09
15071.0947,3.22E-06,1.57E-09
15174.1709,3.17E-06,1.53E-09
15277.9512,3.13E-06,1.49E-09
15382.4414,3.09E-06,1.46E-09
15487.6475,3.05E-06,1.42E-09
15593.5713,3.00E-06,1.39E-09
15700.2207,2.96E-06,1.36E-09
15807.5996,2.92E-06,1.32E-09
15915.7129,2.88E-06,1.29E-09
16024.5645,2.85E-06,1.26E-09
16134.1631,2.81E-06,1.23E-09
16244.5088,2.77E-06,1.21E-09
16355.6104,2.73E-06,1.18E-09
16467.4727,2.69E-06,1.15E-09
16580.0977,2.66E-06,1.13E-09
16693.4922,2.62E-06,1.10E-09
16807.6641,2.59E-06,1.08E-09
16922.6191,2.55E-06,1.05E-09
17038.3574,2.52E-06,1.03E-09
17154.8887,2.48E-06,1.01E-09
17272.2148,2.45E-06,9.84E-10
17390.3457,2.42E-06,9.63E-10
17509.2832,2.38E-06,9.42E-10
17629.0352,2.35E-06,9.22E-10
