Fe,Density=7.874,
"Energy(eV),","Delta,",Beta
552.663757,0.002804958,0.000511901
555.025879,0.002771593,0.000504806
557.398071,0.002738592,0.00049781
559.780457,0.002705951,0.000490911
562.173035,0.002673207,0.000484107
564.575867,0.002640291,0.000477397
566.988892,0.002607743,0.00047078
569.412231,0.002575559,0.000464255
571.845947,0.002542941,0.00045782
574.2901,0.002510359,0.000451474
576.74469,0.002478147,0.000445216
579.209717,0.002446301,0.000439045
581.685364,0.002413574,0.00043296
584.171509,0.002381146,0.00042696
586.668335,0.002349094,0.000421042
589.175842,0.002317143,0.00041525
591.69397,0.002284311,0.000409734
594.222961,0.002251867,0.000404292
596.762695,0.002219811,0.000398922
599.313354,0.002187507,0.000393685
601.874878,0.002154707,0.000388605
604.447388,0.002122308,0.00038359
607.030823,0.002090305,0.000378639
609.625366,0.002057488,0.000373753
612.230957,0.002024445,0.000368931
614.847656,0.001991815,0.000364171
617.475647,0.001959591,0.000359473
620.114746,0.001925687,0.000354827
622.765198,0.001891961,0.000350239
625.426941,0.001858671,0.000345712
628.100098,0.001825417,0.000341227
630.784607,0.001789964,0.000336697
633.480652,0.001754978,0.000332227
636.188293,0.00172046,0.000327816
638.907349,0.001684896,0.000323403
641.638184,0.001647233,0.000318944
644.380554,0.001610091,0.000314547
647.134705,0.001573458,0.00031021
649.900635,0.001533809,0.00030587
652.678345,0.001492438,0.000301549
655.468018,0.001451655,0.00029729
658.269531,0.001411461,0.000293091
661.083069,0.00136459,0.000288951
663.90863,0.001317068,0.00028487
666.746216,0.001270258,0.000280847
669.595947,0.001222986,0.000276898
672.457886,0.00116331,0.000273192
675.332031,0.001104566,0.000269536
678.218445,0.001046735,0.000265929
681.117249,0.00098039,0.00026242
684.028381,0.000895192,0.000259061
686.951965,0.000811369,0.000255746
689.888062,0.000728898,0.000252473
692.836792,0.000586508,0.000249272
695.797974,0.000398153,0.000246135
698.771912,0.000212934,0.000243038
701.758484,3.09E-05,0.000239979
704.757935,-0.001172901,0.00023696
707.770081,-0.001793293,0.001986058
710.795227,-0.000723311,0.00195768
713.833191,0.000299216,0.001929708
716.884216,0.000446577,0.001902132
719.948242,0.000591396,0.001874951
723.025391,0.000733723,0.001848158
726.115662,0.000854212,0.001821749
729.219116,0.000920865,0.00179572
732.335938,0.000986333,0.001770061
735.466003,0.001050613,0.001744771
738.609436,0.00110184,0.001719845
741.766357,0.001140752,0.001695275
744.936707,0.001178917,0.001671058
748.120667,0.001216352,0.001647187
751.318237,0.001244156,0.001623664
754.529419,0.001268404,0.00160048
757.754333,0.001292151,0.001577628
760.993042,0.001315403,0.001555102
764.245605,0.001330719,0.0015329
767.512085,0.001345565,0.001511016
770.792542,0.001360065,0.001489443
774.086975,0.00137292,0.001468213
777.395508,0.001380977,0.001447399
780.71814,0.001388799,0.00142688
784.054993,0.001396387,0.001406652
787.406128,0.001400421,0.001386965
790.771606,0.001400434,0.001367847
794.151428,0.001400345,0.001348994
797.545715,0.001400156,0.0013304
800.954529,0.001399955,0.001318228
804.377869,0.001399692,0.001308808
807.815857,0.001399333,0.001299454
811.268555,0.001398879,0.001290167
814.736023,0.001400128,0.001280947
818.218262,0.001401375,0.001271793
821.715393,0.001402501,0.001262704
825.227478,0.001403758,0.00125368
828.754578,0.001406071,0.001244719
832.296814,0.001408245,0.001235822
835.854126,0.001410279,0.001226989
839.426636,0.001413046,0.001218218
843.014404,0.001416892,0.001209512
846.617554,0.001420568,0.001200867
850.236145,0.001424079,0.001192283
853.870117,0.001429028,0.001180777
857.519653,0.001434635,0.001167801
861.184753,0.001440045,0.001154967
864.86554,0.001445261,0.001142275
868.562073,0.001447769,0.00112622
872.274414,0.00144982,0.001109961
876.002563,0.001451734,0.001093937
879.746704,0.001453094,0.001078145
883.506836,0.001451508,0.001062587
887.28302,0.001449845,0.001047253
891.075378,0.001448105,0.00103214
894.883911,0.001445834,0.001017245
898.70874,0.001442715,0.00100256
902.549927,0.001439544,0.000988089
906.407471,0.001436322,0.000973826
910.281616,0.00143241,0.000959766
914.172241,0.001428042,0.000945909
918.079468,0.001423644,0.000932252
922.003418,0.001419219,0.000918791
925.944153,0.001414153,0.000905685
929.901794,0.001408956,0.000892795
933.876282,0.001403746,0.000880089
